STATION_NAME,DATE,AVEMAX
COTTONWOOD WEIR UT US,19590601,90.7
COTTONWOOD WEIR UT US,19590701,95
COTTONWOOD WEIR UT US,19590801,90.7
COTTONWOOD WEIR UT US,19590901,74.5
COTTONWOOD WEIR UT US,19591001,66.7
COTTONWOOD WEIR UT US,19591101,55.2
COTTONWOOD WEIR UT US,19591201,42.4
COTTONWOOD WEIR UT US,19600101,37.4
COTTONWOOD WEIR UT US,19600201,40.1
COTTONWOOD WEIR UT US,19600301,55.8
COTTONWOOD WEIR UT US,19600401,66
COTTONWOOD WEIR UT US,19600501,73.6
COTTONWOOD WEIR UT US,19600601,87.8
COTTONWOOD WEIR UT US,19600701,98.1
COTTONWOOD WEIR UT US,19600801,92.5
COTTONWOOD WEIR UT US,19600901,86.5
COTTONWOOD WEIR UT US,19601001,68.9
COTTONWOOD WEIR UT US,19601101,53.4
COTTONWOOD WEIR UT US,19601201,41.4
COTTONWOOD WEIR UT US,19610101,43.9
COTTONWOOD WEIR UT US,19610201,48
COTTONWOOD WEIR UT US,19610301,53.4
COTTONWOOD WEIR UT US,19610401,61.9
COTTONWOOD WEIR UT US,19610501,74.3
COTTONWOOD WEIR UT US,19610601,91.4
COTTONWOOD WEIR UT US,19610701,96.4
COTTONWOOD WEIR UT US,19610801,93
COTTONWOOD WEIR UT US,19610901,75.4
COTTONWOOD WEIR UT US,19611001,66.2
COTTONWOOD WEIR UT US,19611101,48.2
COTTONWOOD WEIR UT US,19611201,41.4
COTTONWOOD WEIR UT US,19620101,35.6
COTTONWOOD WEIR UT US,19620201,45.9
COTTONWOOD WEIR UT US,19620301,52.3
COTTONWOOD WEIR UT US,19620401,68.4
COTTONWOOD WEIR UT US,19620501,72.1
COTTONWOOD WEIR UT US,19620601,84.6
COTTONWOOD WEIR UT US,19620701,90.7
COTTONWOOD WEIR UT US,19620801,90
COTTONWOOD WEIR UT US,19620901,84.2
COTTONWOOD WEIR UT US,19621001,70.5
COTTONWOOD WEIR UT US,19621101,55.9
COTTONWOOD WEIR UT US,19621201,42.6
COTTONWOOD WEIR UT US,19630101,36.7
COTTONWOOD WEIR UT US,19630201,52.5
COTTONWOOD WEIR UT US,19630301,53.2
COTTONWOOD WEIR UT US,19630401,56.5
COTTONWOOD WEIR UT US,19630501,77.5
COTTONWOOD WEIR UT US,19630601,78.6
COTTONWOOD WEIR UT US,19630701,94.6
COTTONWOOD WEIR UT US,19630801,92.1
COTTONWOOD WEIR UT US,19630901,84.4
COTTONWOOD WEIR UT US,19631001,74.5
COTTONWOOD WEIR UT US,19631101,51.6
COTTONWOOD WEIR UT US,19631201,35.4
COTTONWOOD WEIR UT US,19640101,36.9
COTTONWOOD WEIR UT US,19640401,58.8
COTTONWOOD WEIR UT US,19640601,77.5
COTTONWOOD WEIR UT US,19640701,95.2
COTTONWOOD WEIR UT US,19640801,88.9
COTTONWOOD WEIR UT US,19640901,82.2
COTTONWOOD WEIR UT US,19641101,49.5
COTTONWOOD WEIR UT US,19641201,43.9
COTTONWOOD WEIR UT US,19650101,42.1
COTTONWOOD WEIR UT US,19650201,47.3
COTTONWOOD WEIR UT US,19650601,79
COTTONWOOD WEIR UT US,19650701,90.5
COTTONWOOD WEIR UT US,19650801,87.1
COTTONWOOD WEIR UT US,19651001,72.7
COTTONWOOD WEIR UT US,19651101,57.2
COTTONWOOD WEIR UT US,19651201,41.7
COTTONWOOD WEIR UT US,19660101,41.9
COTTONWOOD WEIR UT US,19660201,43
COTTONWOOD WEIR UT US,19660301,57.2
COTTONWOOD WEIR UT US,19660401,63.9
COTTONWOOD WEIR UT US,19660501,78.4
COTTONWOOD WEIR UT US,19660601,84.7
COTTONWOOD WEIR UT US,19660801,90.9
COTTONWOOD WEIR UT US,19660901,82.4
COTTONWOOD WEIR UT US,19661001,65.7
COTTONWOOD WEIR UT US,19661101,55.8
COTTONWOOD WEIR UT US,19661201,36.7
COTTONWOOD WEIR UT US,19670101,41.7
COTTONWOOD WEIR UT US,19670201,49.3
COTTONWOOD WEIR UT US,19670301,57.7
COTTONWOOD WEIR UT US,19670401,58.5
COTTONWOOD WEIR UT US,19670501,68.5
COTTONWOOD WEIR UT US,19670601,76.3
COTTONWOOD WEIR UT US,19670701,92.1
COTTONWOOD WEIR UT US,19670801,92.1
COTTONWOOD WEIR UT US,19671001,67.6
COTTONWOOD WEIR UT US,19680101,39.9
COTTONWOOD WEIR UT US,19680201,49.1
COTTONWOOD WEIR UT US,19680301,56.3
COTTONWOOD WEIR UT US,19680401,55.9
COTTONWOOD WEIR UT US,19680501,69.6
COTTONWOOD WEIR UT US,19680601,82
COTTONWOOD WEIR UT US,19680701,91
COTTONWOOD WEIR UT US,19680801,81.5
COTTONWOOD WEIR UT US,19680901,76.3
COTTONWOOD WEIR UT US,19681001,65.3
COTTONWOOD WEIR UT US,19681101,48.9
COTTONWOOD WEIR UT US,19681201,40.1
COTTONWOOD WEIR UT US,19690101,46.6
COTTONWOOD WEIR UT US,19690201,43.9
COTTONWOOD WEIR UT US,19690301,49.1
COTTONWOOD WEIR UT US,19690401,64.2
COTTONWOOD WEIR UT US,19690501,79.9
COTTONWOOD WEIR UT US,19690601,77.9
COTTONWOOD WEIR UT US,19690701,92.7
COTTONWOOD WEIR UT US,19690801,93.4
COTTONWOOD WEIR UT US,19690901,83.7
COTTONWOOD WEIR UT US,19691001,58.6
COTTONWOOD WEIR UT US,19691101,51.3
COTTONWOOD WEIR UT US,19691201,42.3
COTTONWOOD WEIR UT US,19700101,43.9
COTTONWOOD WEIR UT US,19700201,52.2
COTTONWOOD WEIR UT US,19700301,50.4
COTTONWOOD WEIR UT US,19700401,55.6
COTTONWOOD WEIR UT US,19700501,71.6
COTTONWOOD WEIR UT US,19700601,82
COTTONWOOD WEIR UT US,19700701,91
COTTONWOOD WEIR UT US,19700801,91.6
COTTONWOOD WEIR UT US,19700901,74.5
COTTONWOOD WEIR UT US,19701001,59.9
COTTONWOOD WEIR UT US,19701101,52.2
COTTONWOOD WEIR UT US,19701201,39.7
COTTONWOOD WEIR UT US,19710101,42.4
COTTONWOOD WEIR UT US,19710201,43.9
